Date,year,Sample ID,Species (common),Species (scientific),sp_code,sp_number,Location (general),Age,Sex Field,Weight,Bag,Bag Weight,Actual Weight,Beak,Tarsus,Tail,Wing,Head,Hg.raw,Hg,logHg,carbon,nitrogen,logN
3-Jul-10,2010,TH2010_002,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,565,black,21,544,52.7,37.11,none,180,NA,396.0739,396.0739,2.597776225,-19.99,14.65,1.165837625
3-Jul-10,2010,TH2010_005,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,590,black,21,569,50.08,37.06,none,180,NA,258.0477,258.0477,2.411699993,-19.93,14.72,1.16790781
5-Jul-10,2010,TH2010_035,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,none,NA,NA,NA,none,none,none,none,NA,252.12305,252.12305,2.401612552,NA,NA,NA
5-Jul-10,2010,TH2010_036,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,530,black,21,509,53.17,37.41,none,175,NA,189.8225,189.8225,2.278347689,-19.98,14.06,1.147985321
27-Jul-10,2010,TH2010_092,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,female,520,black,21,499,48.66,37.34,none,170,NA,342.9687,342.9687,2.535254487,-19.8,15.07,1.178113252
27-Jul-10,2010,TH2010_094,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,630,black,21,609,55.83,37.12,none,180,NA,377.1498,377.1498,2.576513882,-19.73,14.34,1.156549151
27-Jul-10,2010,TH2010_097,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,600,black,21,579,48.87,38.2,none,185,NA,296.1447,296.1447,2.471503965,-19.64,14.31,1.155639634
27-Jul-10,2010,TH2010_101,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,620,black,21,599,53.58,38.97,none,192,NA,328.5908,328.5908,2.5166554,-19.71,14.16,1.151063253
27-Jul-10,2010,TH2010_104,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,600,black,21,579,47.98,38.16,none,178,NA,324.2974,324.2974,2.510943467,-20.13,15.04,1.177247836
30-Jul-10,2010,TH2010_319,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,560,red,14,546,51.27,37.65,none,181,NA,191.4292,191.4292,2.282008184,-19.81,14.58,1.163757524
16-Jul-11,2011,TH2011_036,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,530,black,20,510,48.86,37.35,none,182,NA,250.5837,250.5837,2.398952818,NA,NA,NA
27-Jul-11,2011,TH2011_165,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,640,black,20,620,56.12,39.57,NA,198,NA,307.1524,307.1524,2.487353913,-20.73,13.54,1.131618664
27-Jul-11,2011,TH2011_166,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,570,black,20,550,49.92,35.54,NA,188,NA,295.4655,295.4655,2.470506778,-20.04,14.28,1.154728207
